Link	Type	Score	CLR_score	ELNET_score	GENIE3_score	MI_score	NARROMI_score	PCOR_score	PEARSON_score	TOMSimilarity_score	PLSNET_score	SPEARMAN_score	TIGRESS_score	irp_score
binding	0.0	0.4599056603773585	0.4164567039930256	0.7321428571428571	0.08107364186456768	0.3087693877083716	0.13118346502063646	0.06350814534588832	0.7273698968814336	0.2762201446721526	0.09210142780041954	0.5385150551500624	0.6045230832970221	0.2869787023994098
binding	0.0	0.4599056603773585	0.5944219933726517	0.9696428571428571	0.2398028932633322	0.42472739597591447	0.1490851785017289	0.08758299894287377	0.7400816171730079	0.27803265617001616	0.07881391539980392	0.6539850910943955	0.001400070003500175	0.5568633989253395
binding	0.0	0.7712264150943395	0.46684573954410613	0.8910714285714285	0.3321144661759183	0.34697921502962414	0.2770707265921694	0.177147958808664	0.7961841176481916	0.28794816024656367	0.13029505617029274	0.5712018645881636	0.0011000550027501375	0.5625425840423561
binding	0.0	0.21462264150943394	0.3294074190222127	0.13214285714285715	0.20924742435707444	0.28120120724019404	0.1242464426828301	0.0993942186937402	0.6905815914252101	0.2720068072354901	0.048020624968151286	0.4847513171646572	0.6245097969184175	0.2566372029947659
binding	0.0	0.21462264150943394	0.3092812388982892	0.7232142857142857	0.20175262894069415	0.3090689079664942	0.1394442605538728	0.01684037420494281	0.7552821368120701	0.2827402652187657	0.04211398233623777	0.4247290462973979	0.6245097969184176	0.22452341974639276
binding	0.0	0.21462264150943394	0.4008270343106126	0.8392857142857142	0.09398079234932755	0.30613920794638994	0.15826489976329247	0.10227076478497509	0.7681112435850734	0.2837845780274895	0.08337336070103711	0.5868826072534956	0.06988206553184803	0.4084077145546513
binding	0.0	0.9375	0.442005993071457	0.8857142857142857	0.2010707273052408	0.28707684295794555	0.1679829727958855	0.12290341702031246	0.7619422750741928	0.2887628335894948	0.08371843400575256	0.5830015243834088	0.0004285928582143394	0.36357418451969137
binding	0.0	0.9433962264150944	0.47225158268781287	0.8357142857142856	0.21116838182619674	0.33370906796741695	0.2474110983438104	0.11634460561749424	0.7908378842132904	0.2915759170454549	0.10288290007976596	0.6387902658437492	0.5074325144828671	0.4782803332943868
binding	0.0	0.21462264150943394	0.4370761929969832	0.7589285714285714	0.1080328640985523	0.267744629811716	0.15994844105047318	0.0018685326887514573	0.786167137899594	0.26811715209346865	0.10899931223824133	0.7479120931601702	0.00020001000050002502	0.28590351686754734
binding	0.0	0.21462264150943394	0.4835105356931239	0.8999999999999999	0.12793122832053608	0.2805607377536663	0.286702975429381	0.1081681155795619	0.8741441869066275	0.32874197106273173	0.15652306084985665	0.7596544021875876	0.034701735086754344	0.45562266895444437
binding	0.0	0.7323113207547169	0.5096353517982618	0.9392857142857143	0.13068868240868253	0.28722576331058225	0.2580168883064101	0.07025875095947283	0.8680256739886416	0.3086403163963811	0.18516852547938054	0.6909732081195756	0.04515225761288065	0.4653190307839139
binding	0.0	0.4599056603773585	0.4296551830783372	0.8946428571428571	0.20796551050815817	0.2870174987572709	0.3637063507300122	0.12856492517295218	0.8111797257977419	0.2022609273891956	0.18156302048455397	0.6946926660985117	0.8609430471523577	0.48899805573898325
binding	0.0	0.21462264150943394	0.34828141677231644	0.26428571428571423	0.18417472011567404	0.2472412084785843	0.11328348536167297	0.05342087107035969	0.6918223871280328	0.24144589504323294	0.06637326837324317	0.6828617240662695	0.482045530847971	0.23098372255749752
binding	0.0	0.21462264150943394	0.4842283001135735	0.9053571428571429	0.04459083291743137	0.32726574338660663	0.1686002134737808	0.051018946825097715	0.7716307786159848	0.30455054686274036	0.07903244560264912	0.8990543066933455	0.02375118755937797	0.380539535714145
binding	0.0	0.21462264150943394	0.379262036619923	0.8910714285714285	0.09058582528437677	0.2524080728939373	0.15438200510557756	0.06584344633898936	0.767494449704583	0.29142829167458817	0.1431815242788272	0.6889523756095735	0.0015000750037501877	0.3468228201893324
catalysis	1.0	0.8903301886792454	0.40464853376794324	0.9142857142857143	0.22557173623610957	0.3099781059089076	0.2842964303144409	0.12191911811855194	0.7074152247445019	0.20010614373517444	0.17566270500773395	0.6327903327877363	0.11707013922124677	0.4068940528718219
reaction	1.0	0.8903301886792454	0.40464853376794324	0.9142857142857143	0.22557173623610957	0.3099781059089076	0.2842964303144409	0.12191911811855194	0.7074152247445019	0.20010614373517444	0.17566270500773395	0.6327903327877363	0.11707013922124677	0.4068940528718219
binding	0.0	0.884433962264151	0.427750188619939	0.9249999999999999	0.37283111130430213	0.2656815790618432	0.4206797458863024	0.0010251795900129367	0.9731699810516595	0.3457544281535382	0.17367987194227452	0.5661435268657586	0.7481874093704686	0.4641296314043446
binding	0.0	0.3643867924528302	0.40618025784044903	0.9232142857142857	0.09611068264278065	0.25500634115178245	0.27132050550160836	0.07265021370232937	0.8905175416540009	0.30862391357739594	0.14685127423306485	0.6213253929283583	0.003100155007750388	0.4161046776478249
binding	0.0	0.34080188679245277	0.2911159615725011	0.8714285714285713	0.11823077576231898	0.37591007270952237	0.2282584321967027	0.04536624835869415	0.7695929904866186	0.43650029038593896	0.07041826729494992	0.6484387504748382	0.42957147857392874	0.37111492407404734
reaction	0.0	0.2665094339622641	0.2911159615725011	0.8714285714285713	0.11823077576231898	0.37591007270952237	0.2282584321967027	0.04536624835869415	0.7695929904866186	0.43650029038593896	0.07041826729494992	0.6484387504748382	0.42957147857392874	0.37111492407404734
reaction	1.0	0.08372641509433965	0.22196721149519139	0.8964285714285714	0.030883079401417005	0.21633463679697626	0.09182830342736033	0.011327382679434289	0.6171975355305453	0.14631692619767295	0.0441878290941962	0.45267346860676316	0.008000400020001	0.16338487834912416
reaction	1.0	0.12971698113207547	0.37511824202763683	0.8928571428571428	0.06565654232971482	0.39268880567388775	0.13414223248363738	0.03309196947503978	0.7312323240028346	0.18368336798688556	0.04074984769807633	0.6220229868133901	0.687134356717836	0.3031314286314424
binding	0.0	0.4162735849056604	0.5174674524502694	0.8892857142857142	0.20026101694574625	0.5007002895605097	0.23252796918916657	0.10190479573591475	0.7646092135557786	0.2641621590558229	0.07506677947173025	0.7851973914368213	0.7944897244862243	0.5497887043817421
binding	0.0	0.40330188679245277	0.2980987487693834	0.8803571428571428	0.05883247485195558	0.2734719050277806	0.166477148276919	0.05871218886595094	0.6788614779899165	0.1746708390954728	0.09018381310284708	0.5740746166857158	0.007300365018250913	0.29664618256624076
catalysis	0.0	0.1875	0.2980987487693834	0.8803571428571428	0.05883247485195558	0.2734719050277806	0.166477148276919	0.05871218886595094	0.6788614779899165	0.1746708390954728	0.09018381310284708	0.5740746166857158	0.007300365018250913	0.29664618256624076
reaction	0.0	0.1875	0.2980987487693834	0.8803571428571428	0.05883247485195558	0.2734719050277806	0.166477148276919	0.05871218886595094	0.6788614779899165	0.1746708390954728	0.09018381310284708	0.5740746166857158	0.007300365018250913	0.29664618256624076
binding	0.0	0.2181603773584906	0.27770124876144114	0.8321428571428572	0.049044316426821596	0.337327944506678	0.19364354030389205	0.047885451551974954	0.6699627589328255	0.15460116992614328	0.04123158755281167	0.51926188101968	0.00030001500075003756	0.24440188045879832
regulation	1.0	0.3620283018867924	0.38420416941639773	0.8785714285714286	0.1442279886183408	0.2945015862536885	0.14433797351274769	0.05669642253404047	0.7363684974183367	0.21801118755909166	0.11392135219675661	0.5982099052700872	0.015900795039751985	0.3377185324439531
catalysis	1.0	0.3620283018867924	0.38420416941639773	0.8785714285714286	0.1442279886183408	0.2945015862536885	0.14433797351274769	0.05669642253404047	0.7363684974183367	0.21801118755909166	0.11392135219675661	0.5982099052700872	0.015900795039751985	0.3377185324439531
reaction	1.0	0.3620283018867924	0.38420416941639773	0.8785714285714286	0.1442279886183408	0.2945015862536885	0.14433797351274769	0.05669642253404047	0.7363684974183367	0.21801118755909166	0.11392135219675661	0.5982099052700872	0.015900795039751985	0.3377185324439531
binding	0.0	0.5601415094339623	0.1854829089093379	0.06964285714285715	0.01114635112265182	0.1761317400945711	0.061841589634380606	0.034629259723249005	0.4926144390252964	0.1446719968337748	0.04895607051351531	0.4250105864303703	0.16549398898516354	0.0729629566420604
reaction	1.0	0.3620283018867924	0.23147820670224836	0.8285714285714285	0.03477558210408745	0.23591710331774948	0.15564596143755977	0.06509499007917594	0.6460457781946807	0.1556463028758163	0.08375980386597938	0.5661612534667235	0.043266449036737556	0.2037666939292058
reaction	1.0	0.2665094339622641	0.43489905647309945	0.8875	0.22390563089336885	0.42386634521518063	0.3048821004511005	0.1319975827078444	0.7777317865323541	0.21120210401802278	0.06995443815617161	0.6783028593945822	0.9842992149607481	0.4851029696913207
binding	0.0	0.884433962264151	0.24025006077072095	0.8160714285714286	0.010645371537278335	0.23447772652591156	0.1280357109455834	0.012420719801880236	0.6192950466066035	0.11610348038758539	0.030601382950624006	0.5515607907190191	0.03165158257912896	0.1815291265003696
binding	0.0	0.884433962264151	0.4185450449185032	0.6232142857142856	0.06927521292782275	0.3329896594969728	0.12952679797645403	0.014779586705662992	0.721935108732472	0.23622542452087975	0.054441227275353256	0.8206745764150493	0.4962248112405621	0.35155022324212415
catalysis	1.0	0.015330188679245293	0.14986189686354412	0.5892857142857143	0.007169571194284262	0.11647570244078778	0.04725182318394996	0.0020294929976912256	0.47582920188694444	0.07931961205266345	0.049869127663933054	0.36948253027833783	0.0012500625031251563	0.034157817281474157
catalysis	1.0	0.004716981132075471	0.27317513978712854	0.8678571428571428	0.019447259886532686	0.2428514171815009	0.10884056615631713	0.012121777782266672	0.6729293418538483	0.2965076979536687	0.021122963927574713	0.4570071011720724	0.5971298564928247	0.20246308070192945
binding	0.0	0.13797169811320753	0.42847864139945596	0.9017857142857142	0.07685136204100289	0.4375686972106042	0.27456039983836983	0.001137018556780938	0.7459602085982489	0.27050458239676306	0.021382912661070508	0.784736499811733	0.47732386619330974	0.26204726352810515
catalysis	0.0	0.13797169811320753	0.42847864139945596	0.9017857142857142	0.07685136204100289	0.4375686972106042	0.27456039983836983	0.001137018556780938	0.7459602085982489	0.27050458239676306	0.021382912661070508	0.784736499811733	0.47732386619330974	0.26204726352810515
reaction	0.0	0.13797169811320753	0.42847864139945596	0.9017857142857142	0.07685136204100289	0.4375686972106042	0.27456039983836983	0.001137018556780938	0.7459602085982489	0.27050458239676306	0.021382912661070508	0.784736499811733	0.47732386619330974	0.26204726352810515
binding	0.0	0.9846698113207548	0.23435830838018062	0.8821428571428571	0.006959719983912417	0.2538110593740407	0.12989870282310725	0.01213457018082209	0.5610569359341964	0.11784135905906629	0.06582572610553529	0.5370176787391423	0.09780489024451225	0.1924162005122557
binding	0.0	0.9433962264150944	0.5326268343337165	0.9446428571428571	0.10046077119038663	0.5500869812428099	0.42735756181583534	0.03393237683494309	0.8477888624138897	0.337028128453417	0.04180103151122785	0.7866520154571789	0.5607780389019451	0.5538216347283613
binding	0.0	0.9599056603773586	0.5847087415247808	0.9214285714285714	0.16739504182463583	0.856157495477664	0.4913642064380869	0.035450946499900486	0.9442208272017346	0.8433230068566272	0.019380757437363963	0.9534197063703251	0.06895344767238364	0.606891689826697
binding	0.0	0.884433962264151	0.4816096521420593	0.7482142857142856	0.0814723744707082	0.7493323357535876	0.40843115945655156	0.028699239675536448	0.9111271067925883	0.8349356987488665	0.015369681801043191	0.924795416776893	0.12629202888715862	0.43879910046748904
binding	0.0	0.884433962264151	0.4708374305650485	0.9517857142857142	0.1430616383462522	0.607941978391209	0.26780084657990205	0.02004243820260366	0.8972559375704093	0.752779446058377	0.022135698105927186	0.8781671570504896	0.4161208060403021	0.5120206792704491
binding	0.0	0.884433962264151	0.5947977303029442	0.9267857142857142	0.13267086561387245	0.8512028145722708	0.32732122644357486	0.022407288351621805	0.9308490653786172	0.8497556457019859	0.024209252841342836	0.9447712105819048	0.026451322566128307	0.692688607103051
binding	0.0	0.8962264150943398	0.4931325253981886	0.9071428571428571	0.14089883921966273	0.7340204122775984	0.31019973292049613	0.021714076165914274	0.9181754442082082	0.8102166505381849	0.023439773441124044	0.931931937777128	0.1431571578578929	0.46068089832473225
binding	0.0	0.884433962264151	0.49502107622725233	0.8553571428571428	0.20832061977735047	0.7542366300735023	0.2966750534038607	0.018584068060259987	0.9075396111671655	0.82015675884321	0.016973177583434612	0.9316086879948262	0.454036987563664	0.42832162094393145
binding	0.0	0.884433962264151	0.5341511587730219	0.9696428571428571	0.17673349721835296	0.7803200858229111	0.3013875819502635	0.002934945207638151	0.9255234260632649	0.809336365919313	0.018917512343671207	0.9404365352753624	0.3295950511811306	0.40841165296319293
binding	0.0	0.4893867924528302	0.4226567744335872	0.8749999999999999	0.04159490458730146	0.4841516553364964	0.1933609272968782	0.002499030920565353	0.8205397531327285	0.37389073031946785	0.019281664454514784	0.7267830275512045	0.5531276563828192	0.33345323599337817
